name,slug,alternate_names,short_description,founded,geographies,audiences,formats,access_models,official_url,verification_status,last_verified,best_for,not_best_for,private_gatherings,public_events,peer_groups,coaching,education,certification,research,pricing_publicly_available
CFO Connect,cfo-connect,,Global community for modern finance leaders,,Global online|Europe,CFOs|Finance leaders,Digital community|Events|Resources,Application|Membership,https://www.cfoconnect.eu,verified,2026-08-03,"Modern finance leaders seeking online community, events, resources, and international peer exchange.","CFOs prioritizing a local confidential forum, formal coaching, or a large North American chapter association.",False,False,False,False,False,False,False,False
Private Equity CFO Association,private-equity-cfo-association,PECFOA,Peer association for private equity finance professionals,,United States,Private equity CFOs|Private capital finance professionals,Peer networking|Events|Education,Membership,https://pecfoa.com,verified,2026-08-03,CFOs and finance professionals in private equity and private capital seeking specialized education and industry relationships.,Finance leaders outside private capital or those wanting a broad cross-functional executive community.,False,False,True,False,True,False,False,False
CMO Council,cmo-council,,Global peer network and research community for marketing leaders,,Global,CMOs|Senior marketing leaders,Peer community|Research|Events|Thought leadership,Membership|Invitation,https://www.cmocouncil.org,verified,2026-08-03,"CMOs and senior marketing leaders seeking global peer research, thought leadership, and executive programs.",Leaders wanting a small confidential coaching group or a community centered on local cross-functional relationships.,True,False,True,False,False,False,True,False
The CMO Club,cmo-club,,Peer community for chief marketing officers,,Global,CMOs,Peer community|Events|Content,Membership,https://thecmoclub.com,verified,2026-08-03,"Chief marketing officers seeking role-specific peer exchange, events, and marketing leadership content.","Broader go-to-market teams or executives seeking certification, formal coaching, or a cross-C-suite community.",False,False,True,False,False,False,False,False
Pavilion,pavilion,,Membership community for go-to-market leaders,,Global,Revenue leaders|Marketing leaders|Sales leaders,Digital community|Education|Events|Local chapters,Membership,https://www.joinpavilion.com,verified,2026-08-03,"Marketing, sales, revenue, and go-to-market leaders seeking community, education, chapters, and professional development.","Executives wanting a CEO-only forum, private wealth community, or narrowly CMO-exclusive network.",False,False,False,False,True,False,False,False
ANA CMO Masters Circle,ana-cmo-masters-circle,,CMO peer program from the Association of National Advertisers,,United States,CMOs|Senior marketing leaders,Executive peer program|Events|Research,Membership|Qualification,https://www.ana.net,incomplete,2026-08-03,"CMOs at major advertisers seeking peer activity connected to ANA research, industry programs, and events.",Leaders who require fully documented current access details or a small independent peer-group model; this record remains incomplete.,False,False,True,False,False,False,True,False
Evanta,evanta,Gartner Evanta,Role-based communities for C-suite executives,,North America|Europe|Australia,C-suite executives,Executive summits|Local communities|Peer discussions,Invitation|Qualification,https://www.evanta.com,verified,2026-08-03,"C-suite leaders seeking invitation-based, role-specific regional summits and concentrated peer discussion.","Executives wanting a continuous small-group forum, individual coaching, or a member-led chapter association.",True,False,True,False,False,False,False,False
ISACA,isaca,,Global professional association for digital trust leaders,,Global,CISOs|Security professionals|Governance professionals|IT auditors,Chapters|Credentials|Training|Research|Events,Membership|Open programs,https://www.isaca.org,verified,2026-08-03,"Security, audit, risk, privacy, and governance leaders seeking credentials, frameworks, chapters, research, and formal education.",CISOs seeking only an intimate private executive forum or a cross-functional CEO and investor community.,False,True,False,False,True,True,True,False
ISSA International,issa-international,Information Systems Security Association,Professional community for cybersecurity practitioners and leaders,,Global,Cybersecurity leaders|Security practitioners,Chapters|Events|Education|Publications,Membership,https://www.issa.org,verified,2026-08-03,"Cybersecurity practitioners and leaders seeking local chapters, education, publications, and professional relationships.","Executives seeking a CISO-only qualification model, cross-functional C-suite access, or individual coaching.",False,False,False,False,True,False,False,False
Cloud Security Alliance,cloud-security-alliance,CSA,Global community focused on cloud security research and practice,,Global,Security leaders|Cloud security professionals,Working groups|Chapters|Research|Education|Events,Membership|Open participation,https://cloudsecurityalliance.org,verified,2026-08-03,"Security leaders and practitioners seeking cloud-security research, working groups, chapters, education, and open participation.",Executives seeking a general leadership network or a private forum focused only on enterprise CISO peers.,False,True,False,False,True,False,True,False
CISO Executive Network,ciso-executive-network,,Peer network for chief information security officers,,United States,CISOs|Senior security executives,Peer roundtables|Events|Executive networking,Qualification|Membership,https://cisoexecnet.com,verified,2026-08-03,"Qualified CISOs seeking recurring regional roundtables, closed-door peer sessions, and security-executive relationships.",Technical practitioners below its membership criteria or leaders seeking certification and broad public education.,False,False,True,False,False,False,False,False
Executive AI Network,executive-ai-network,,Executive community focused on applied enterprise AI,,United States|Global online,AI executives|Technology leaders|Business executives,Peer community|Events|Executive education,Application|Events,https://www.executiveainetwork.com,incomplete,2026-08-03,"Business and technology executives exploring enterprise AI strategy, implementation, governance, and peer learning.","Buyers requiring fully verified current programming, access, and geography; this record remains incomplete.",False,False,True,False,True,False,False,False
AI Leadership Institute,ai-leadership-institute,,Executive education and community focused on responsible AI leadership,,Global online,Executives|AI leaders,Executive education|Community|Events,Application|Open programs,https://www.upskilling.ai,incomplete,2026-08-03,"Executives and professionals seeking responsible-AI education, community programming, workshops, and implementation guidance.",Leaders requiring a documented invitation-only peer forum or independently verified global executive network; this record remains incomplete.,False,True,False,False,True,False,False,False
Silicon Valley Leadership Group,silicon-valley-leadership-group,SVLG,Business leadership association in Silicon Valley,,Silicon Valley|San Francisco Bay Area,Business leaders|Employers|Executives,Policy councils|Events|Working groups|Research,Membership,https://www.svlg.org,verified,2026-08-03,"Silicon Valley employers and executives interested in regional policy, competitiveness, convenings, research, and civic engagement.","Individuals seeking a confidential CEO forum, private coaching group, or role-exclusive membership network.",False,False,False,False,False,False,True,False
Bay Area Council,bay-area-council,,Business-sponsored public policy and leadership organization,,San Francisco Bay Area,Business leaders|Employers|Executives,Policy committees|Events|Research|Leadership programs,Membership,https://www.bayareacouncil.org,verified,2026-08-03,"Bay Area business leaders and employers seeking policy engagement, regional initiatives, research, and executive events.",Executives seeking a small confidential peer group or a function-specific professional community.,False,False,False,False,False,False,True,False
Silicon Valley Directors' Exchange,silicon-valley-directors-exchange,SVDX,Board governance community in Silicon Valley,,Silicon Valley|San Francisco Bay Area,Board directors|Governance leaders,Events|Peer exchange|Governance education,Membership|Events,https://www.svdx.org,verified,2026-08-03,"Board directors and governance leaders seeking Silicon Valley-based peer exchange, education, and governance events.","Operating executives seeking general C-suite networking, coaching, or a global chapter community.",False,False,True,False,True,False,False,False
Long Angle,long-angle,,Private community for high-net-worth investors,,United States|Global online,Investors|Entrepreneurs|Family offices,Digital community|Events|Peer investment discussions,Application|Qualification,https://www.longangle.com,verified,2026-08-03,"Qualified high-net-worth investors seeking private, member-led discussion of investment opportunities and portfolio decisions.","Operating executives seeking functional leadership programs, public events, or professional certification.",False,False,True,False,False,False,False,False
Founders Network,founders-network,,Founder peer community with mentoring and events,,Global online|United States,Startup founders,Mentoring|Peer forums|Events|Digital community,Application|Membership,https://foundersnetwork.com,verified,2026-08-03,"Startup founders seeking mentoring, investor access, events, and relationships with other entrepreneurs.","Established corporate executives seeking a C-suite-only forum, formal coaching, or professional-association credentials.",False,False,True,False,False,False,False,False
